experiment	factor	condition	ipReads
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A34024.CEMT_4.H3K27ac.hg38.A34024_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A34040.CEMT_5.H3K27ac.hg38.A34040_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A34079.CEMT_6.H3K27ac.hg38.A34079_3_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A35241.CEMT_25.H3K27ac.hg38.A35241_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A34943.CEMT_26.H3K27ac.hg38.A34943_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A34950.CEMT_27.H3K27ac.hg38.A34950_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A34957.CEMT_28.H3K27ac.hg38.A34957_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A34964.CEMT_29.H3K27ac.hg38.A34964_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A35248.CEMT_30.H3K27ac.hg38.A35248_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A60648.CEMT_94.H3K27ac.hg38.A60648_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A60655.CEMT_95.H3K27ac.hg38.bwa-sb.IX4413.C958UANXX_6_CGATGT.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A60662.CEMT_96.H3K27ac.hg38.A60662_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27ac	Chronic Lymphocytic Leukaemia	hg38/counts/A60665.CEMT_97.H3K27ac.hg38.A60665_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.q5.F3332.PET.wig.cnt.gz
1	H3K27me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34023.CEMT_4.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_ACTCTC.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34039.CEMT_5.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGCGCT.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34078.CEMT_6.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGTTCC.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A35240.CEMT_25.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_GCACTT.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34942.CEMT_26.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_ACTCTC.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34949.CEMT_27.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGCGCT.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34956.CEMT_28.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGTTCC.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A34963.CEMT_29.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_CCACGC.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A35247.CEMT_30.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_GGCTAC.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60647.CEMT_94.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGCGCT.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60654.CEMT_95.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGTTCC.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60661.CEMT_96.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_CCACGC.q5.F3332.PET.wig.cnt.gz
1	H3K36me3	Chronic Lymphocytic Leukaemia	hg38/counts/A60666.CEMT_97.H3K36me3.hg38.bwa-sb.IX4419.C9587ANXX_4_ATGTCA.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A34019.CEMT_4.H3K4me1.hg38.A34019_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A34035.CEMT_5.H3K4me1.hg38.A34035_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A34074.CEMT_6.H3K4me1.hg38.A34074_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A35236.CEMT_25.H3K4me1.hg38.A35236_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A34938.CEMT_26.H3K4me1.hg38.A34938_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A34945.CEMT_27.H3K4me1.hg38.A34945_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A34952.CEMT_28.H3K4me1.hg38.A34952_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
1	H3K4me1	Chronic Lymphocytic Leukaemia	hg38/counts/A34959.CEMT_29.H3K4me1.hg38.A34959_2_lanes_dupsFlagged.q5.F3332.PET.wig.cnt.gz
