KEGG_ABC_TRANSPORTERS	hsa02010
KEGG_ACUTE_MYELOID_LEUKEMIA	hsa05221
KEGG_ADHERENS_JUNCTION	hsa04520
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	hsa04920
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	hsa00250
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	hsa04960
KEGG_ALLOGRAFT_REJECTION	hsa05330
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	hsa00592
KEGG_ALZHEIMERS_DISEASE	hsa05010
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	hsa00970
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	hsa00520
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	hsa05014
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	hsa04612
KEGG_APOPTOSIS	hsa04210
KEGG_ARACHIDONIC_ACID_METABOLISM	hsa00590
KEGG_ARGININE_AND_PROLINE_METABOLISM	hsa00330
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	hsa05412
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	hsa00053
KEGG_ASTHMA	hsa05310
KEGG_AUTOIMMUNE_THYROID_DISEASE	hsa05320
KEGG_AXON_GUIDANCE	hsa04360
KEGG_BASAL_CELL_CARCINOMA	hsa05217
KEGG_BASAL_TRANSCRIPTION_FACTORS	hsa03022
KEGG_BASE_EXCISION_REPAIR	hsa03410
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	hsa04662
KEGG_BETA_ALANINE_METABOLISM	hsa00410
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	hsa01040
KEGG_BLADDER_CANCER	hsa05219
KEGG_BUTANOATE_METABOLISM	hsa00650
KEGG_CALCIUM_SIGNALING_PATHWAY	hsa04020
KEGG_CARDIAC_MUSCLE_CONTRACTION	hsa04260
KEGG_CELL_ADHESION_MOLECULES_CAMS	hsa04514
KEGG_CELL_CYCLE	hsa04110
KEGG_CHEMOKINE_SIGNALING_PATHWAY	hsa04062
KEGG_CHRONIC_MYELOID_LEUKEMIA	hsa05220
KEGG_CIRCADIAN_RHYTHM_MAMMAL	hsa04710
KEGG_CITRATE_CYCLE_TCA_CYCLE	hsa00020
KEGG_COLORECTAL_CANCER	hsa05210
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	hsa04610
